,title,description,originallink,link,pubDate
0,"제이홉, 폭우 피해에 1억원 기부","이번 폭우 피해로 배우 김혜수가 1억원을 기부한데 방송인 유재석, 가수 <b>싸이</b>(본명 박재상), 가수 아이유와 수지가 각각 1억원을 기부했으며 배우 김고은, 한지민이 5000만원을 기부했다.",http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=730011,https://n.news.naver.com/mnews/article/009/0005005817?sid=106,"Thu, 18 Aug 2022 10:18:00 +0900"
1,"'악동도 깜짝 놀란 풍채'.. 카사노, ""김민재 엄청 커, 덤비지마""",뒤지지 않는 외모에서부터 밀리지 않은 풍모를 지녀 인기를 끌었다. 여기에 나폴리 선수단 신고식에서 <b>싸이</b>의 &apos;강남스타일&apos;을 부르며 춘 춤 때문에 열정 넘치는 나폴리 팬들의 시선을 한몸에 사로 잡았다. ,http://www.osen.co.kr/article/G1111921527,https://sports.news.naver.com/news.nhn?oid=109&aid=0004680479,"Thu, 18 Aug 2022 10:11:00 +0900"
2,최초의 기후위기 외교관 최후의 대안을 내놓다,<b>싸이</b> 열풍의 상징인 강남역에서는 외국인 관광객이 유모차를 들고 42개 계단을 올라가는 걸 직접 봤어요. 광화문역에는 155개짜리 계단이 있어요. 반면 도쿄는 완벽해요. 공항에서 호텔 입구까지 트렁크 끌고 갈 수... ,https://www.sisain.co.kr/news/articleView.html?idxno=48245,https://n.news.naver.com/mnews/article/308/0000031337?sid=102,"Thu, 18 Aug 2022 05:56:00 +0900"
3,'싸이·경주용 전기차' 뜨니 7.6만명 서울 잠실로..내년엔 '광화문',"&apos;서울페스타&apos; 서울관광 부활 신호탄 앞서 개막식에선 <b>싸이</b>와 엔씨티드림, 스트레이키즈 등 케이팝(K팝)을 대표하는 스타들이 총출동했다. 외국인 관광객을 포함해 K팝을 좋아하는 시민들도 한곳에 모였다. 공연장... ",http://news.mt.co.kr/mtview.php?no=2022081709535711137,https://n.news.naver.com/mnews/article/008/0004784234?sid=102,"Thu, 18 Aug 2022 05:20:00 +0900"
4,머니투데이 오프라인 헤드라인-18일,"[정책사회·문화] <b>싸이</b> 뛰고, 전기차 폭풍 레이스…&apos;8만명&apos; 몰린 잠실 &apos;MZ 공무원&apos; 다 떠날라...원격·자율근무 늘린다 [스타뉴스] &apos;우영우&apos; 신드롬 시즌2로 이어갈까? 아홉남자의 &apos;대시&apos;, 더 짙어진 팀 색깔 &quot;스크린·안방... ",http://news.mt.co.kr/mtview.php?no=2022081721070160520,https://n.news.naver.com/mnews/article/008/0004784223?sid=101,"Thu, 18 Aug 2022 04:00:00 +0900"
5,[조세린 클라크의 문화산책] 물을 다스리는 지도자,"얼음과 숲으로 둘러싸인 주노(Juneau)시의 동쪽으로는 거대한 빙원, 서쪽으로는 해안이 있고 나무는 어디에나... 서울 강남의 브랜드는 이번에 <b>싸이</b>의 말춤에서 제네시스 차량 위에 정장 차림으로 앉아 홍수 장면을 찍어... ",https://www.joongang.co.kr/article/25095118,https://n.news.naver.com/mnews/article/025/0003217423?sid=110,"Thu, 18 Aug 2022 00:35:00 +0900"
6,[김호광 칼럼] P2E에서 클레이튼의 가능성과 리스크,메타버스와 NFT를 위한 블록체인 메인넷인 <b>싸이</b>메타버스체인은 클레이튼보다 더 저렴한 수수료와 3초 이내의 전송 속도를 자랑한다. P2E를 위한 개발자용 SDK를 준비 중에 있어서 기존의 게임 회사들이 P2E로 전환을 쉽게... ,https://www.gametoc.co.kr/news/articleView.html?idxno=67767,https://www.gametoc.co.kr/news/articleView.html?idxno=67767,"Wed, 17 Aug 2022 18:44:00 +0900"
7,느슨해진 방역의식 다시 조여야할 때,실제로 지난 6일 여수에서 열린 가수 <b>싸이</b>의 ‘흠뻑쇼’ 공연에는 지역 각지에서 3만 명의 관객이 운집했다. 이 페스티벌은 수많은 관객들이 서로 밀접한 채 소리를 지르면서 비말이 쉽게 튀고 마스크가 물에 젖기 때문에... ,http://www.jndn.com/article.php?aid=1660727998342855059,http://www.jndn.com/article.php?aid=1660727998342855059,"Wed, 17 Aug 2022 18:22:00 +0900"
8,"“이런 날이 올 줄이야”…싸이월드 장악했던 얼짱, 축하받을 소식 알렸다 (전...","이를 본 누리꾼들은 “언니 감성이 담긴 패션 너무 좋아요”, “와 진심으로 축하드립니다”, “빨리 만날 수 있었으면 좋겠어요” 등 뜨거운 반응을 보였다.유보화는 2000년대 중반 <b>싸이</b>월드에서 얼짱으로 이름을 알린 뒤... ",https://www.wikitree.co.kr/articles/781317,https://www.wikitree.co.kr/articles/781317,"Wed, 17 Aug 2022 18:02:00 +0900"
9,3년 만에 돌아온 '제5회 전주모래내시장 치맥&가맥 페스티벌'… 19~20일 개최,이어 20일에는 ▲가수 천명훈(NRG) ▲히든싱어 <b>싸이</b> ▲최나리 ▲더블루이어즈 ▲놀면 뭐하니? ▲치맥 마이크 ▲스트릿 댄스파이터 등의 다양한 축하 무대 공연과 고객참여 프로그램이 시장 곳곳에서 펼쳐진다. 이와... ,http://www.bizwnews.com/news/articleView.html?idxno=40327,http://www.bizwnews.com/news/articleView.html?idxno=40327,"Wed, 17 Aug 2022 17:56:00 +0900"
